state,county_name,totalvotes,dem_percent,rep_percent,other_percent
Alabama,Autauga,83310.0,0.27018365142239825,0.714368023046453,0.015448325531148721
Alabama,Baldwin,329037.0,0.22409029987509005,0.7617137282433283,0.014195971881581707
Alabama,Barbour,31554.0,0.45788172656398557,0.5345122646891044,0.007606008746910059
Alabama,Bibb,28785.0,0.20698280354351226,0.7842626367899947,0.008754559666492965
Alabama,Blount,82764.0,0.09569377990430622,0.8957155284906481,0.008590691605045673
Alabama,Bullock,13839.0,0.7470192933015392,0.24842835464990246,0.004552352048558422
Alabama,Butler,28464.0,0.4178962900505902,0.5752529510961214,0.006850758853288365
Alabama,Calhoun,152949.0,0.29845242531824334,0.6884843967597042,0.013063177922052449
Alabama,Chambers,45852.0,0.41644857367181365,0.5726903951845067,0.010861031143679666
Alabama,Cherokee,36903.0,0.13202178684659785,0.8603365580034144,0.007641655149987806
Alabama,Chilton,57930.0,0.1591403417918177,0.8329880890730191,0.007871569135163127
Alabama,Choctaw,22392.0,0.41894426580921756,0.5755627009646302,0.005493033226152197
Alabama,Clarke,39405.0,0.4381423677198325,0.5575942139322421,0.0042634183479253905
Alabama,Clay,20790.0,0.18282828282828284,0.8082251082251082,0.008946608946608947
Alabama,Cleburne,21681.0,0.09339975093399751,0.8971910889719109,0.0094091600940916
Alabama,Coffee,66825.0,0.22787878787878788,0.7586531986531987,0.013468013468013467
Alabama,Colbert,83658.0,0.2991823854263788,0.688625116545937,0.012192498027684143
Alabama,Conecuh,19323.0,0.46048750194069243,0.5343890700201832,0.005123428039124359
Alabama,Coosa,16437.0,0.3277970432560686,0.6627121737543348,0.009490782989596642
Alabama,Covington,52290.0,0.15611015490533564,0.8368330464716007,0.0070567986230636835
Alabama,Crenshaw,19851.0,0.2569140093698051,0.7350763185733716,0.008009672056823333
Alabama,Cullman,125553.0,0.10699863802537574,0.8812214761893383,0.011779885785285896
Alabama,Dale,59214.0,0.2619313000303982,0.724642820954504,0.01342587901509778
Alabama,Dallas,53592.0,0.6846171070309002,0.30922525750111957,0.006157635467980296
Alabama,Dekalb,88068.0,0.14583049461779535,0.8436776127537812,0.010491892628423491
Alabama,Elmore,123090.0,0.2526687789422374,0.7351693882524982,0.012161832805264441
Alabama,Escambia,47730.0,0.3091137649277184,0.6831552482715273,0.007730986800754243
Alabama,Etowah,143184.0,0.2423524974857526,0.7443848474689909,0.013262655045256453
Alabama,Fayette,26298.0,0.1591375770020534,0.8327629477526808,0.008099475245265799
Alabama,Franklin,37734.0,0.16584512641119414,0.8249324216886628,0.009222451900143107
Alabama,Geneva,37635.0,0.12714228776404943,0.8647269828616979,0.008130729374252691
Alabama,Greene,14325.0,0.8134031413612566,0.18324607329842932,0.003350785340314136
Alabama,Hale,23700.0,0.590253164556962,0.4040506329113924,0.00569620253164557
Alabama,Henry,27894.0,0.2802753280275328,0.7105829210582921,0.009141750914175092
Alabama,Houston,138519.0,0.27975223615532885,0.7064301648149351,0.013817599029735993
Alabama,Jackson,70908.0,0.15726011169402607,0.8322051108478592,0.010534777458114741
Alabama,Jefferson,977544.0,0.5575851317178562,0.426097444207115,0.016317424075028848
Alabama,Lamar,21579.0,0.13596552203531212,0.858334491867093,0.005699986097594884
Alabama,Lauderdale,133017.0,0.26872505018155574,0.7154198335551095,0.015855116263334763
Alabama,Lawrence,48093.0,0.22219449815981535,0.7686357681991142,0.009169733641070425
Alabama,Lee,214347.0,0.38992848045459,0.590924995451301,0.019146524094109083
Alabama,Limestone,147705.0,0.27768863613283234,0.7035645374225652,0.01874682644460242
Alabama,Lowndes,20505.0,0.7274323335771763,0.2686174103877103,0.003950256035113387
Alabama,Macon,26169.0,0.8148572738736674,0.1766594061676029,0.008483319958729795
Alabama,Madison,584301.0,0.4481560017867503,0.5277074658438031,0.02413653236944657
Alabama,Marengo,32700.0,0.50348623853211,0.4901834862385321,0.006330275229357798
Alabama,Marion,41421.0,0.10596074454986601,0.8839718983124502,0.010067357137683784
Alabama,Marshall,118965.0,0.1498676081200353,0.8369940738872778,0.013138317992686924
Alabama,Mobile,549492.0,0.43389530693804457,0.5527450809110961,0.013359612150859339
Alabama,Monroe,32004.0,0.4176040494938133,0.5762092238470191,0.006186726659167604
Alabama,Montgomery,297417.0,0.6508941990538537,0.3360029857069367,0.013102815239209595
Alabama,Morgan,161166.0,0.24634228062990954,0.7383194966680318,0.015338222702058747
Alabama,Perry,15690.0,0.7380497131931166,0.2560229445506692,0.005927342256214149
Alabama,Pickens,29004.0,0.41601158460901944,0.5786098469176665,0.005378568473314025
Alabama,Pike,41523.0,0.40719601184885484,0.5810273824145654,0.011776605736579727
Alabama,Randolph,32511.0,0.20328504198578942,0.7897942234935867,0.0069207345206237884
Alabama,Russell,63987.0,0.5264194289465047,0.46246893900323505,0.011111632050260209
Alabama,Shelby,344850.0,0.28941278816876903,0.6933449325793823,0.01724227925184863
Alabama,St. Clair,133323.0,0.1742535046466101,0.8137980693503747,0.011948426003015234
Alabama,Sumter,18873.0,0.7388332538547131,0.2540136703226832,0.00715307582260372
Alabama,Talladega,106989.0,0.3683930123657572,0.623475310545944,0.008131677088298797
Alabama,Tallapoosa,62973.0,0.2791196226954409,0.7128293077985803,0.008051069505978753
Alabama,Tuscaloosa,270516.0,0.41881071729583463,0.566883289712993,0.014305992991172425
Alabama,Walker,93510.0,0.15508501764517163,0.8341995508501765,0.010715431504651908
Alabama,Washington,26628.0,0.254393871113114,0.7395223073456512,0.00608382154123479
Alabama,Wilcox,17709.0,0.6857530069456209,0.3105200745383703,0.003726918516008809
